香港频道,#genre#
翡翠台,https://cdn.1989.click/hk/ycmbmx?token=f8df7b099cca7bb76248bf749f6ad58432e7f24f82f41e00
翡翠台,https://cdn.qd.je/163189/fct
翡翠台,#KODIPROP:inputstream.adaptive.manifest_type=mpd
翡翠台,http://222.128.55.152:9080/live/gdfc.m3u8
翡翠台,http://tv123.cc.cd/live.php?ch=150&sid=6b50c655ee340727d0b03d0b79e2c9db&exp=1785733233&sig=8e697b07311f529c2051d006823f019f3e20653039a68b83c8ddb35ce4fde26e
翡翠台,http://tv123.cc.cd/live.php?ch=151&sid=6b50c655ee340727d0b03d0b79e2c9db&exp=1785733233&sig=b65506f190f81b58b4fa998935cef695ef8c6d79f0f09cb33616b5d1ebd454f5
翡翠台,http://tv123.cc.cd/live.php?ch=1260&sid=6b50c655ee340727d0b03d0b79e2c9db&exp=1785733233&sig=de2ed984681dc9fc61af773b8befaa0b2c63b1024cecadac573a4b2a95d0d96d
翡翠台,http://tv123.cc.cd/live.php?ch=1400&sid=6b50c655ee340727d0b03d0b79e2c9db&exp=1785733233&sig=ef248977179e59761411240a10e2983d5d7c1c82a8d12ff662e83b95fd8a73c4
翡翠台,http://tv123.cc.cd/live.php?ch=1617&sid=6b50c655ee340727d0b03d0b79e2c9db&exp=1785733233&sig=97e21c1591b9cfc420b1805a9503e3e97ed205bf7047f21bb58f2663b01ae4a0
翡翠台,http://tv123.cc.cd/live.php?ch=1649&sid=6b50c655ee340727d0b03d0b79e2c9db&exp=1785733233&sig=c7b106cb41b2aa7041b64c24b03818625b6727eb7e16a7a5a61040c61ede6ef4
翡翠台,http://tv123.cc.cd/live.php?ch=1921&sid=6b50c655ee340727d0b03d0b79e2c9db&exp=1785733233&sig=4723cfaf9d2b60f67a2e0e2e5326f4e54a15794c3f7fd59d10dc6de557d74e1a
翡翠台,http://tv123.cc.cd/live.php?ch=1922&sid=6b50c655ee340727d0b03d0b79e2c9db&exp=1785733233&sig=905c43dfa7e2e331a5a4368fda21eb03d25f2df854f3fd2da32dfca162f31b87
翡翠台,http://tv123.cc.cd/live.php?ch=1961&sid=6b50c655ee340727d0b03d0b79e2c9db&exp=1785733233&sig=6277dca1bb6f1231a689565c67662e3ce90da9ac1d7ad0c2790a5ad2491543cd
翡翠台,https://cdn.qd.je/163189/fct2
翡翠台,https://cdn.qd.je/163189/fctvtt
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct4
翡翠台,https://cdn6.cc.cd/163189/fct
翡翠台,https://cdn.qd.je/163189.php?id=fct
翡翠台,http://r.jdshipin.com/n90gt
翡翠台,http://o11.163189.xyz/stream/tvb/fct/
翡翠台,http://r.jdshipin.com/qrfbg
翡翠台,http://cdn9.163189.xyz/smt1.1.php?id=jade_twn
翡翠台,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
翡翠台,https://epg.pw/stream/b1bedc34e0cd84c712106b10fa7bd2055a46898678c37e35aebe43290c2c8a1f.m3u8
翡翠台,https://o11.163189.xyz/stream/tvb/fct4k/
翡翠台,https://php.jdshipin.com:2096/TVOD/iptv.php?id=fct2
翡翠台,https://o11.163189.xyz/stream/tvb/fct/
翡翠台,https://mytv.cdn.loc.cc/o12.php?id=fct
翡翠台,http://r.jdshipin.com/GeWKr?id=fct406
翡翠台,http://r.jdshipin.com/GeWKr
翡翠台,https://cdn3.indevs.in/stream/tvb/fct/
翡翠台,https://10.fast.hidns.vip/163189/fct/
翡翠台4K,https://cdn.qd.je/163189/fct4k
翡翠台4K,https://cdn.qd.je/163189/fct2
翡翠台4K,https://cdn.qd.je/163189/fctvtt
翡翠台4K,#KODIPROP:inputstream.adaptive.manifest_type=mpd
翡翠台4K,http://tv123.cc.cd/live.php?ch=1896&sid=6b50c655ee340727d0b03d0b79e2c9db&exp=1785733233&sig=7221dc2083c3d7e32982c4f62fdcbda4fe2edf7f362982892fc177cccd389632
翡翠台4K,http://o11.163189.xyz/stream/tvb/fct4k/
翡翠台4K,https://o11.163189.xyz/stream/tvb/fct4k/
翡翠台4K,https://o11.163189.xyz/stream/tvb/fct/
翡翠台4K,http://cdn6.163189.xyz/163189/fct4k
翡翠台4K,http://o11.163189.xyz/stream/tvb/fct/
翡翠台4K,https://cdn3.indevs.in/stream/tvb/fct4k/
无线新闻台,https://cdn.1989.click/hk/ezvb9d?token=f8df7b099cca7bb76248bf749f6ad58432e7f24f82f41e00
无线新闻台,https://cdn.qd.je/163189/wxxw
无线新闻台,#KODIPROP:inputstream.adaptive.manifest_type=mpd
无线新闻台,http://15611-huge.cdn-o2.me/live/4b1cb29e33/9ea2b8c5e827/500949.ts
无线新闻台,http://tv123.cc.cd/live.php?ch=1261&sid=6b50c655ee340727d0b03d0b79e2c9db&exp=1785733233&sig=30cba14455d98ddc30fdedb8cc0baec82be3bfd3aaca833a47c9cee2d1f0c204
无线新闻台,http://tv123.cc.cd/live.php?ch=1399&sid=6b50c655ee340727d0b03d0b79e2c9db&exp=1785733233&sig=9fb81c4ec67363738a7afaeefaac3c80bb3e0857af3d7e4c7b10fb7cf8d0d63f
无线新闻台,http://tv123.cc.cd/live.php?ch=1610&sid=6b50c655ee340727d0b03d0b79e2c9db&exp=1785733233&sig=a13833b4f74c3b2a982500f6feea163606d0c19e2c36b6eb337de7e4645559e7
无线新闻台,http://tv123.cc.cd/live.php?ch=1650&sid=6b50c655ee340727d0b03d0b79e2c9db&exp=1785733233&sig=15e835a9f25a0426406a7de1be7d93399a77f5be348c31a8bf4e97f42dcf5bba
无线新闻台,http://tv123.cc.cd/live.php?ch=1924&sid=6b50c655ee340727d0b03d0b79e2c9db&exp=1785733233&sig=7e33c8da19b899fc173fc9dfe46d1ff817dc5474212888ce3573f8c881f05563
无线新闻台,http://tv123.cc.cd/live.php?ch=1942&sid=6b50c655ee340727d0b03d0b79e2c9db&exp=1785733233&sig=1e44aea167eae9a98b4cceaf8b58f4695a0af420d368f2f839c3063feae5f25b
无线新闻台,https://cdn.qd.je/163189/wxxwt
